"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","H/AB","R","HR","RBI","SO","SB","AVG","OPS","GP"
"*03dgq*","Ryan O'Hearn","PIT","1B,OF","174","AKR","Active","32","MIA Sun 12:15PM","72.21","94%","0%","57/202","31","10","35","50","1",".282",".810","56"
"*04p10*","Bryson Stott","PHI","2B","175","SSP","Active","28","@MIL Sun 2:10PM","72.18","78%","-3%","51/221","20","6","33","43","12",".231",".674","64"
"*03zbh*","Fernando Tatis Jr.","SD","2B,OF","177","BOS","Active","27","@BAL Sun 1:35PM","71.84","99%","0%","73/262","27","2","22","63","16",".279",".693","67"
"*05uei*","Chase DeLauter","CLE","OF","181","BOS","Active","24","DET Sun 1:40PM","71.2","96%","-1%","63/240","24","7","34","36","2",".263",".745","66"
"*04pbq*","Geraldo Perdomo","ARI","SS","184","ALASKA","Active","26","@CIN Sun 1:40PM","71.09","97%","-1%","55/231","29","3","22","34","10",".238",".686","67"
"*0597k*","Nick Gonzales","PIT","2B,3B","186","MN","Active","27","MIA Sun 12:15PM","70.91","61%","0%","72/243","36","2","31","46","3",".296",".712","65"
"*04ppi*","Kody Clemens","MIN","1B,2B,OF","187","KCP","Active","30","STL Sun 2:10PM","70.72","57%","+9%","50/203","29","10","25","50","6",".246",".797","59"
"*0622w*","Chandler Simpson","TB","OF","189","Rome","Active","25","@LAA Sun 4:07PM","70.6","92%","-4%","65/243","32","0","12","29","14",".267",".622","65"
"*03aqw*","Mauricio Dubon","ATL","2B,3B,SS,OF","192","KCP","Active","31","@NYM Sun 1:40PM","70.53","76%","+1%","63/243","28","6","37","42","1",".259",".719","66"
"*04nb2*","Riley Greene","DET","OF","195","SUGA","Active","25","@CLE Sun 1:40PM","70.21","99%","0%","76/256","36","8","33","84","1",".297",".840","71"
"*03d6s*","Matt Chapman","SF","3B","197","SUGA","Active","33","CHC Sun 3:10PM","70.14","91%","+4%","67/258","33","6","37","62","0",".260",".747","70"
"*05ahe*","Curtis Mead","WSH","1B,3B","198","45s","Active","25","SEA Sun 1:35PM","70.09","67%","-2%","40/171","31","10","29","34","3",".234",".810","56"
"*04eig*","Jose Caballero","NYY","2B,3B,SS,OF","200","AKR","Active","29","@TOR Sun 1:37PM","69.8","85%","-2%","49/189","25","5","18","41","15",".259",".707","58"
"*05rbv*","Samuel Basallo","BAL","C","204","45s","Reserve","21","SD Sun 1:35PM","69.49","95%","0%","49/190","27","10","29","54","0",".258",".796","59"
"*051d0*","Troy Johnston","COL","1B,OF","206","DOB","Active","28","@ATH Sun 3:05PM","69.46","53%","+1%","71/225","27","2","30","45","4",".316",".802","66"
"*04071*","Isaac Paredes","HOU","3B","209","ALASKA","Active","27","@KC Sun 2:10PM","69.26","91%","0%","54/236","28","9","33","46","0",".229",".725","66"
"*05yaf*","Jacob Young","WSH","OF","211","AKR","Active","26","SEA Sun 1:35PM","69.25","34%","-2%","50/215","30","8","27","44","6",".233",".673","69"
"*05ub0*","Zack Gelof","ATH","2B,3B,OF","213","PAW","Reserve","26","COL Sun 3:05PM","69.16","64%","+1%","49/181","30","9","25","50","7",".271",".791","54"
"*05u3u*","Konnor Griffin","PIT","SS","214","SSP","Active","20","MIA Sun 12:15PM","68.92","98%","0%","51/189","30","4","22","56","14",".270",".729","51"
"*0648n*","Chase Meidroth","CHW","2B,SS","215","ALASKA","Active","24","LAD Sun 2:10PM","68.92","73%","0%","70/251","41","5","23","63","2",".279",".739","67"
"*05zh9*","Luke Keaschall","MIN","2B","217","Rome","Active","23","STL Sun 2:10PM","68.84","88%","-3%","57/234","30","2","23","42","10",".244",".641","66"
"*05g3x*","Maikel Garcia","KC","3B","220","Rome","Active","26","HOU Sun 2:10PM","68.79","98%","-1%","65/250","32","3","25","43","4",".260",".692","64"
"*02w7p*","Alex Bregman","CHC","3B","221","BOS","Active","32","@SF Sun 3:10PM","68.69","98%","0%","69/280","33","6","22","53","2",".246",".686","70"
"*065ji*","Jakob Marsee","MIA","OF","224","PAW","Active","24","@PIT Sun 12:15PM","68.62","88%","-1%","48/236","37","3","17","65","17",".203",".640","69"
"*05y7x*","Cole Young","SEA","2B","225","GOATS","Reserve","22","@WSH Sun 1:35PM","68.6","67%","-1%","68/261","30","5","32","55","2",".261",".688","72"
"*04nqx*","Ezequiel Duran","TEX","1B,2B,3B,SS,OF","226","45s","Active","27","@BOS Sun 7:20PM","68.57","74%","-1%","59/205","29","4","35","56","5",".288",".778","62"
"*03atq*","Willy Adames","SF","SS","227","KCP","Active","30","CHC Sun 3:10PM","68.53","95%","0%","64/276","34","11","29","82","1",".232",".702","69"
"*05184*","Vinnie Pasquantino","KC","1B","228","SUGA","Reserve","28","HOU Sun 2:10PM","68.51","95%","0%","57/254","28","6","32","51","3",".224",".660","68"
"*01svq*","Manny Machado","SD","3B","232","ALASKA","Active","33","@BAL Sun 1:35PM","68.39","99%","0%","44/247","32","12","35","61","1",".178",".620","66"
