"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*01ut7*","Nathan Eovaldi","TEX","SP","222","GOATS","Active","36","@BOS Sun 7:20PM","68.66","98%","0%","80.1","4.26","1.183","77","7","6","3.85","0","0/0","0","0","0","0","0","0",".000","13"
"*0516x*","Brent Headrick","NYY","RP","223","KCP","Active","28","@TOR Sun 1:37PM","68.66","19%","-1%","32.2","1.93","1.347","36","1","0","2.57","7","0/0","0","0","0","0","0","0",".000","34"
"*03d6p*","Grant Holmes","ATL","SP","229","AKR","Active","30","@NYM Sun 1:40PM","68.49","70%","-1%","66.2","4.05","1.335","59","2","5","2.03","0","0/0","0","0","0","0","0","0",".000","13"
"*05r3a*","Brandon Young","BAL","SP","230","ALASKA","Active","27","SD Sun 1:35PM","68.46","49%","+12%","56.1","3.04","1.243","42","1","5","2.21","0","0/0","0","0","0","0","0","0",".000","10"
"*04esc*","Keaton Winn","SF","RP","231","SUGA","Active","28","CHC Sun 3:10PM","68.42","32%","-2%","30.2","3.23","0.978","26","2","0","2.89","12","0/0","0","0","0","0","0","0",".000","29"
"*05ycf*","Noah Cameron","KC","SP","234","PAW","Active","26","HOU Sun 2:10PM","68.38","88%","+3%","70","4.11","1.214","64","4","5","3.76","0","0/0","0","0","0","0","0","0",".000","13"
"*05y2l*","Emmet Sheehan","LAD","SP","235","SUGA","Active","26","@CHW Sun 2:10PM","68.29","95%","-2%","59.1","4.70","1.213","64","3","5","4.00","0","0/0","0","0","0","0","0","0",".000","12"
"*05a1v*","Keider Montero","DET","SP,RP","236","ALASKA","Reserve","25","@CLE Sun 1:40PM","68.25","48%","-3%","72.1","3.61","1.009","48","4","5","2.82","0","0/0","0","0","0","0","0","0",".000","13"
"*05jpd*","Ian Seymour","TB","SP,RP","237","KCP","Reserve","27","@LAA Sun 4:07PM","68.14","56%","-3%","35","4.89","1.257","38","0","0","2.38","12","0/0","0","0","0","0","0","0",".000","27"
"*041x9*","Graham Ashcraft","CIN","RP","240","BOS","Active","28","ARI Sun 1:40PM","68.01","26%","-2%","27","3.33","1.222","32","1","0","2.00","11","0/0","0","0","0","0","0","0",".000","26"
"*04eqa*","Garrett Whitlock","BOS","RP","242","MN","Active","30","TEX Sun 7:20PM","67.92","52%","0%","21.2","2.91","1.062","27","1","0","4.50","9","0/0","0","0","0","0","0","0",".000","21"
"*03dc4*","Freddy Peralta","NYM","SP","245","45s","Active","30","ATL Sun 1:40PM","67.79","99%","0%","78","4.04","1.321","79","5","4","2.47","0","0/0","0","0","0","0","0","0",".000","14"
"*066n1*","Justin Sterner","ATH","RP","246","MN","Active","29","COL Sun 3:05PM","67.63","20%","+1%","32","3.38","1.031","30","3","0","4.29","12","0/0","0","0","0","0","0","0",".000","33"
"*01fhm*","Martin Perez","ATL","SP","249","KCP","Active","35","@NYM Sun 1:40PM","67.52","48%","+3%","62","2.90","1.048","51","3","1","2.43","0","0/0","0","0","0","0","0","0",".000","14"
"*03dau*","Trevor Megill","MIL","RP","250","MN","Active","32","PHI Sun 2:10PM","67.48","87%","-1%","25","4.32","1.160","34","2","0","4.25","14","0/0","0","0","0","0","0","0",".000","26"
"*02bx4*","Clay Holmes","NYM","SP","253","BOS","Reserve","33","ATL Sun 1:40PM","67.42","74%","-1%","52.2","2.39","1.101","45","4","4","2.50","0","0/0","0","0","0","0","0","0",".000","9"
