#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt
"1043","Patrick Copen","24","AA","LAD","","831.1","7","874","1297","268","722","435","612","1610"
"1044","Shane Murphy","25","AAA","CHW","","831.1","7","845","1185","295","431","1336","627","1099"
"1045","Tim Naughton","30","AAA","DET","","","2","","352","","","1311","",""
"1046","Erik Rivera","25","AAA","BOS","","831.7","5","","747","","620","1200","815","777"
"1047","Patrick Reilly","24","AA","PIT","","831.8","3","","416","","","1114","966",""
"1048","Jervis Alfaro","22","A+","CLE","","831.9","7","580","1422","314","433","1937","136","1001"
"1049","Antoine Jean","24","A+","COL","","","1","","","","","832","",""
"1050","Darlin Saladin","23","AA","STL","","832.4","4","","428","","802","720","","1380"
"1051","Hunter Parks","25","AAA","CIN","","832.9","4","","1461","","515","1150","","206"
"1052","Chase Solesky","28","MLB","TBR","","833.0","4","728","","809","","446","","1349"
"1053","Brandon Neeck","26","AAA","PIT","","833.2","3","","703","","","1175","","622"
"1054","Deivi Villafana","23","A","CIN","","833.2","7","597","673","293","503","2862","363","542"
"1055","Matthew Dalquist","23","A","MIN","","834.5","6","572","","592","476","2038","591","738"
"1056","Brendan Cellucci","28","AAA","TOR","","834.7","3","","1099","","","472","","933"
"1057","Jairo Iriarte","24","MLB","CHW","","835.0","4","","810","","791","1107","","632"
"1058","Kenyi Perez","24","AA","CHC","","835.5","4","","186","","853","1950","","353"
"1059","Evan Siary","22","A","TEX","","835.8","6","844","","272","361","2587","587","364"
"1060","Joe Rock","25","MLB","TBR","","836.7","5","","836","689","1131","173","","1355"
"1061","Geoffrey Gilbert","25","AA","NYY","","838.0","3","","148","","1222","1144","",""
"1062","Matthew Pushard","28","MLB","MIA","","","1","","","","","838","",""
"1063","Hunter Dryden","24","A+","SFG","","840.0","7","839","613","281","656","1314","879","1298"
"1064","Eric Cerantola","26","MLB","SFG","","842.7","3","","","","785","1010","","733"
"1065","Bobby Olsen","24","A+","STL","","844.3","3","","","","933","803","","797"
"1066","Trey Cooper","23","A+","CHW","","844.5","4","398","","","797","1456","","727"
"1067","Victor Mederos","25","MLB","ATL","","844.8","6","296","1557","808","908","177","","1323"
"1068","Brenden Dixon","25","AAA","PIT","","","1","","","","","845","",""
"1069","Will Bednar","26","AAA","SFG","","845.3","4","","654","","841","1282","","604"
"1070","Ryan Vanderhei","25","AA","SFG","","845.6","4","","326","","599","1951","","507"
"1071","Chuck King","28","AAA","PHI","","846.0","5","704","1515","334","","753","","924"
"1072","Teddy McGraw","24","AA","SEA","","","1","","","","","846","",""
"1073","Hayden Snelsire","25","AAA","TBR","","847.5","4","","601","","641","1772","","376"
"1074","Luke Little","25","MLB","CHC","","847.5","4","","207","","1312","305","","1566"
"1075","Drew Dowd","24","AA","TBR","","","2","","66","","","1631","",""
"1076","Michael Darrell-Hicks","28","MLB","PIT","","","2","","1071","","","626","",""
"1077","Rocco Reid","23","A+","ARI","","849.0","3","","1027","","561","959","",""
"1078","Tyler Baum","28","AAA","WSN","","","2","","1034","","","667","",""
"1079","Joel Lara","19","A","NYM","","852.3","7","381","1131","228","680","1913","195","1438"
"1080","Jimmy Kingsbury","27","AA","SEA","","852.7","3","","259","","","1422","","877"
"1081","Ryan Dromboski","23","AA","PHI","","852.7","7","388","1131","282","499","1516","471","1682"
"1082","Kade Bragg","24","AA","MIA","","852.9","4","","464","","1044","830","","1074"
"1083","Jeremy Pilon","20","A","TBR","","","2","","","","","1020","","687"
"1084","Cory Wall","26","AA","ATL","","","2","","259","","","1449","",""
"1085","Yermain Ruiz","20","A","BOS","","854.2","6","404","","897","594","1437","658","1135"
"1086","Luis Martinez-Gomez","23","AA","CHC","","854.7","6","605","933","","472","1841","697","580"
"1087","Tyler Vogel","25","AAA","SFG","","854.8","4","","435","","1074","1160","","750"
"1088","Michael Watson","24","AA","STL","","855.4","4","","270","","1086","913","","1153"
"1089","Kyle Bischoff","26","AAA","MIN","","856.0","4","","700","","856","1122","","746"
"1090","Justin King","28","AAA","MIA","","856.3","3","","797","","","1069","","703"
"1091","Evan Fitterer","26","AAA","SDP","","858.2","7","370","997","572","1200","780","513","1576"
"1092","Landon Harper","25","AA","ATL","","","2","","747","","","970","",""
"1093","Cole Stasio","24","AAA","TEX","","859.3","3","","","","851","1064","","663"
"1094","Johan Moreno","23","AAA","SDP","","859.8","4","","281","","535","2049","","574"
"1095","Edgar Colon","20","A","CIN","","860.5","7","280","1719","416","235","2464","262","648"
"1096","Jan Cabrera","21","CPX","STL","","","2","","","","","1509","","213"
"1097","Ryan Ramsey","25","AAA","KCR","","861.1","7","494","1145","344","718","851","856","1620"
"1098","Jamie Hitt","23","AA","SDP","","861.3","6","988","","369","577","1021","675","1538"
"1099","Aaron Combs","24","AA","PHI","","861.5","4","","753","","665","1013","","1015"
"1100","Marco Barrios","20","A","CHW","","862.0","3","","","","364","2114","","108"
"1101","Efrain Contreras","26","AA","LAA","","862.3","3","","1447","","349","791","",""
"1102","Fisher Jameson","23","AAA","COL","","862.8","6","664","357","","417","1829","827","1083"
"1103","Wyatt Hudepohl","24","A+","NYM","","","2","","","","","1151","576",""
"1104","Joe Vogatsky","24","AA","BOS","","863.6","6","566","1357","","495","1813","258","693"
"1105","Tyler Jay","32","MLB","SEA","","","2","","1071","","","661","",""
"1106","Jackson Wolf","27","MLB","SDP","","865.8","5","338","1185","606","","690","","1510"
"1107","Bailey Dees","27","AAA","NYY","","","2","","747","","","987","",""
"1108","Colby Martin","25","AAA","MIA","","867.0","4","","83","","963","1224","","1198"
"1109","Grayson Boles","19","CPX","KCR","","","1","","","","","869","",""
"1110","Eriq Swan","24","AA","WSN","","869.1","4","","1141","","994","856","486",""
"1111","Blake Adams","25","AAA","COL","","869.3","7","586","1302","325","810","886","900","1276"
"1112","Jared Southard","25","AAA","LAA","","869.9","4","","376","","1170","614","","1320"
"1113","Dylan Watts","21","A+","TOR","","870.2","6","666","","262","615","2358","256","1064"
"1114","Connor Oliver","25","AA","PIT","","870.7","7","441","1208","273","612","2269","399","893"
"1115","Bridger Holmes","23","AAA","LAA","","","2","","585","","","1158","",""
"1116","Joe Miller","26","AAA","DET","","871.4","6","557","1042","518","","1444","568","1100"
"1117","Fernando Perez","22","AA","TOR","","873.5","3","","997","","","901","723",""
"1118","Bryce Jenkins","25","A+","NYM","","873.7","3","","","","815","1423","","383"
"1119","Sam Mettert","22","A","CHC","","","1","","","","","874","",""
"1120","JT Benson","24","A","NYM","","","1","","","","","875","",""
"1121","Ben Bowden","31","MLB","ATH","","875.7","3","","629","","","1137","","861"
"1122","Aaron Rozek","30","AAA","MIN","","876.3","4","","1549","404","","796","","756"
"1123","Jose Guzman","21","A","DET","","877.3","3","","","","521","1762","","349"
"1124","Thomas Pannone","32","MLB","MIL","","879.6","4","","1712","477","","274","","1056"
"1125","Jose Gutierrez","23","A","KCR","","880.4","7","379","1565","390","365","2519","484","461"
"1126","Chandler Champlain","26","AAA","WSN","","880.6","6","540","1461","287","","1044","793","1159"
"1127","Zachary Cawyer","23","AA","KCR","","881.0","4","","968","","773","724","","1059"
"1128","Jesus Liranzo","31","AAA","MIL","","","2","","387","","","1376","",""
"1129","Karson Ligon","23","A","TOR","","","2","","","","","1149","614",""
"1130","Trevor Martin","25","MLB","TBR","","882.7","3","","","804","995","849","",""
"1131","Anders Tolhurst","26","AAA","TOR","","","2","","772","","","994","",""
"1132","Bryce Cunningham","23","A+","NYY","","884.8","7","741","1351","393","689","1239","713","1068"
"1133","Onix Vega","27","AAA","NYM","","","1","","","","","885","",""
"1134","Yordin Chalas","22","AA","ARI","","","2","","1034","","","736","",""
"1135","Kai Peterson","23","AA","TOR","","886.5","3","","376","","1179","1105","",""
"1136","Estibenzon Jimenez","24","AA","PHI","","887.0","4","","1034","","566","1769","","179"
"1137","Alejandro Chiquillo","23","A","TEX","","887.8","6","758","","387","591","2368","517","706"
"1138","Ryan Watson","28","MLB","BOS","","","1","","","","","888","",""
"1139","Eric Yost","23","AAA","SDP","","888.1","7","779","1461","345","720","1066","586","1260"
"1140","Aidan Deakins","22","A+","TEX","","888.9","7","683","1515","155","304","2104","547","914"
"1141","Jean Henriquez","32","AA","BAL","","","1","","","","","890","",""
"1142","Tyler Davis","24","AA","BOS","","","2","","464","","","1319","",""
"1143","Cody Adcock","24","AA","CIN","","891.8","4","","569","","893","1291","","814"
"1144","Jacob Edwards","25","A+","CIN","","892.4","7","631","1150","551","980","1566","771","598"
"1145","Bryce Archie","22","A","CIN","","892.8","5","542","","","751","2024","410","737"
"1146","Stu Flesland III","25","AAA","COL","","893.6","7","546","537","647","891","1861","780","993"
"1147","Aiden Taggart","19","A","TOR","","","1","","","","","894","",""
"1148","Zac Lampton","26","A+","BAL","","","2","","","","522","1267","",""
"1149","David Rodriguez","24","A+","ATL","","894.6","4","","772","","583","1961","","263"
"1150","Alix Hernandez","21","A","SFG","","894.7","3","","","","729","1756","","199"
"1151","Brayden Spears","25","A+","CHC","","894.9","5","682","738","","845","1570","","640"
"1152","Leighton Finley","22","A","BOS","","895.8","6","411","","395","664","2410","422","1073"
"1153","Cooper Adams","26","AA","BOS","","896.1","5","678","661","","737","1503","","902"
"1154","Brett Kerry","27","MLB","LAA","","896.8","4","657","","673","","940","","1317"
"1155","Ivran Romero","24","A+","MIN","","896.8","7","802","1093","837","700","1198","652","996"
"1156","Carlos Carra","19","A","MIL","","898.6","7","267","1719","140","360","1866","497","1442"
"1157","Jack Anderson","26","MLB","MIN","","898.8","5","656","","540","","1274","741","1283"
"1158","Wilking Rodriguez","36","AAA","NYY","","","1","","","","","899","",""
"1159","Brody Fowler","22","A+","ATL","","899.7","3","","","","","1443","657","599"
"1160","Adam Shoemaker","23","A+","HOU","","900.2","5","491","933","","449","2342","286",""
"1161","Chay Yeager","23","AA","TOR","","","2","","361","","","1440","",""
"1162","Connor Wilford","25","A","SEA","","900.3","3","","","","","1687","452","562"
"1163","Blake Rambusch","26","AA","SEA","","","1","","","","","902","",""
"1164","Sean Boyle","29","AAA","SDP","","904.8","4","531","1478","","","325","","1285"
"1165","Ben Kudrna","23","AAA","KCR","","904.8","3","","925","","","1037","753",""
"1166","Peter Heubeck","23","AA","LAD","","904.9","5","926","997","","1050","618","934",""
"1167","Austin St. Laurent","23","A+","SEA","","","1","","","","","905","",""
"1168","Luimy Munoz","23","A","TEX","","905.0","3","","","","759","1642","","314"
"1169","Grant Manning","25","A","WSN","","906.0","4","752","","","786","1695","","391"
"1170","Noah Beal","24","A+","TBR","","906.8","4","","825","","830","1727","","245"
"1171","Braian Salazar","21","A+","SDP","","907.9","4","","608","","832","1390","","802"
"1172","Gabriel Barbosa","24","AAA","PHI","","908.4","7","984","673","768","443","1816","842","833"
"1173","Joey Danielson","25","AA","TEX","","908.9","4","","387","","986","1621","","642"
"1174","Justin Storm","24","AA","MIA","","909.0","4","","249","","1116","1713","","558"
"1175","Andrew Herbert","25","A","BAL","","909.3","6","951","","626","601","2209","478","591"
"1176","Simon Gregersen","23","A","ARI","","909.8","4","803","","","770","1572","","494"
"1177","Jacob Wallace","27","AAA","KCR","","","2","","585","","","1236","",""
"1178","TJ Shook","28","MLB","NYM","","","2","","","","","1357","","464"
"1179","Jaren Warwick","24","A","LAA","","910.8","4","","245","","1045","1911","","442"
"1180","Frank Camarillo","22","A+","NYM","","913.0","6","851","","316","413","2601","515","782"
"1181","Matt Sauer","27","MLB","FA","","","2","","1499","","","329","",""
"1182","Austin Breedlove","22","A","NYY","","","1","","","","","914","",""
"1183","Edwin Jimenez","24","AA","MIL","","914.3","4","","1289","","788","952","","628"
"1184","Andrew Lindsey","26","AAA","TBR","","914.5","3","","1642","","","819","","283"
"1185","Justin Chambers","20","A+","LAD","","915.0","3","","","","902","652","","1191"
"1186","Braxton Roxby","27","AAA","SFG","","915.7","3","","366","","","768","","1613"
"1187","Cameron Millar","19","CPX","KCR","","","1","","","","","916","",""
"1188","Jhancarlos Lara","23","AAA","WSN","","916.8","3","","477","","1514","760","",""
"1189","Randal Diaz","23","A+","BAL","","","1","","","","","917","",""
"1190","Juan Reyes","21","CPX","WSN","","","2","","","","","1538","","299"
"1191","Tucker Biven","22","A+","WSN","","","2","","","","907","930","",""
"1192","Guillo Zuniga","27","MLB","PHI","","","2","","906","","","938","",""
"1193","Trent Youngblood","24","A+","ARI","","","1","","","","","922","",""
"1194","Thomas Harrington","24","MLB","PIT","","923.1","7","750","1436","455","880","703","726","1512"
"1195","Jerming Rosario","24","AAA","LAD","","923.9","4","","696","","1070","761","","1169"
"1196","Jose Davila","23","A+","STL","","924.3","3","","797","","864","1112","",""
"1197","Kamdyn Perry","20","A+","TEX","","924.4","7","418","1748","321","339","2101","121","1423"
"1198","Carson Coleman","28","AAA","TEX","","","2","","","","","410","","1440"
"1199","Efrailin Ramos","20","A","TBR","","","2","","","","","1498","","352"
"1200","Junior Fernandez","29","MLB","KCR","","925.2","3","","1436","","","283","","1057"
"1201","Garrett Hawkins","26","AAA","SDP","","925.3","3","","552","","","606","","1618"
"1202","Jhonathan Diaz","29","MLB","SEA","","925.6","5","996","1027","641","","229","","1735"
"1203","Lazaro Estrada","27","MLB","TOR","","926.3","3","799","968","","","1012","",""
"1204","Jimmy Joyce","27","AA","SEA","","","2","","897","","","956","",""
"1205","Gerson Garabito","30","MLB","FA","","","2","","1042","","","812","",""
"1206","David Hernandez","19","CPX","PHI","","","2","","","","","1297","","557"
"1207","Merritt Beeker","24","A","WSN","","","2","","67","","","1788","",""
"1208","Adrian Gil","20","A","CHW","","","1","","","","","928","",""
"1209","Parker Smith","23","A+","HOU","","928.9","7","512","1618","543","586","1467","501","1275"
"1210","Deiry Gonzalez","18","CPX","PHI","","","2","","","","","1039","","819"
"1211","Jayden Kim","19","A","PIT","","","1","","","","","929","",""
"1212","Ryan Bourassa","26","AA","ATL","","","2","","281","","","1580","",""
"1213","Matt Cronin","28","AAA","SEA","","","2","","503","","","1361","",""
"1214","Kelly Austin","25","AA","NYY","","933.8","4","","825","","755","1849","","306"
"1215","Caden Rose","24","AA","BOS","","","1","","","","","935","",""
"1216","Wyatt Parliament","22","A","NYY","","935.7","6","693","","823","478","2536","416","668"
"1217","Anhuar Garcia","22","A","CHC","","","1","","","","","936","",""
"1218","Brett Banks","24","A+","NYM","","","2","","172","","","1700","",""
"1219","Garrett Davila","29","AAA","WSN","","","2","","637","","","1237","",""
"1220","Chen Zhong-Ao Zhuang","25","AAA","ATH","","937.0","7","607","1138","604","879","947","789","1595"
"1221","Alex Williams","26","AAA","MIA","","937.4","6","805","1580","422","","986","628","1204"
"1222","Lebarron Johnson Jr.","24","A+","COL","","937.6","7","545","1370","599","626","1791","852","780"
"1223","Adisyn Coffey","27","AAA","CHW","","937.8","3","","747","","","637","","1430"
"1224","JeanPierre Ortiz","22","A+","CIN","","938.2","7","489","906","664","637","2283","537","1052"
"1225","Drew Pestka","22","A+","CIN","","","2","","229","","","1648","",""
"1226","Alex Makarewich","24","A+","LAD","","941.0","4","","309","","1226","1261","","968"
"1227","Liam Sullivan","24","A+","WSN","","941.9","7","698","968","358","686","2189","617","1077"
"1228","Mikey Tepper","24","A+","WSN","","944.1","7","861","906","510","763","2043","386","1140"
"1229","Carson Laws","23","A+","MIA","","945.3","6","878","","607","654","1613","665","1255"
"1230","Carlos Medina","21","A","SDP","","945.7","6","476","","674","816","2551","546","611"
"1231","Carson Hobbs","24","AA","LAD","","946.1","4","","421","","1026","1348","","990"
"1232","Alex Cornwell","27","AAA","STL","","","2","","955","","","939","",""
"1233","Connor O'Hara","25","CPX","TEX","","","2","","","","","1463","","431"
"1234","Kohl Drake","25","AAA","ARI","","947.3","7","500","1394","749","930","528","812","1718"
"1235","Adler Cecil","21","CPX","SDP","","","2","","","","","1812","","84"
"1236","Steffon Moore","29","AA","CIN","","","1","","","","","949","",""
"1237","Peyton Pallette","25","MLB","CHW","","","2","","","","871","1028","",""
"1238","Juan Bello","22","A+","HOU","","","2","","406","","","1495","",""
"1239","Brady Tygart","23","A+","BOS","","","2","","","","","1181","721",""
"1240","Garrett Gainey","26","AAA","TBR","","952.3","7","925","940","538","1000","1863","630","770"
"1241","Trenton Wallace","27","AAA","TOR","","","2","","1121","","","784","",""
"1242","Victor Diaz","23","A+","CIN","","953.1","4","","925","","941","1466","","481"
"1243","Gerinton Mendez","19","A","MIA","","953.7","3","","","563","","1671","","627"
"1244","Joseph King","25","A+","STL","","","1","","","","","954","",""
"1245","Cameron Nohos","23","A","SDP","","","2","","","","","1531","","380"
"1246","Curtis Taylor","30","AAA","STL","","","2","","1099","","","813","",""
"1247","Bryson Van Sickle","25","AAA","COL","","956.2","5","708","","","673","1941","362","1097"
"1248","Ryan Loutos","27","MLB","WSN","","","2","","531","","","1382","",""
"1249","Alex Breckheimer","22","A","STL","","957.2","6","827","","659","704","1954","528","1071"
"1250","Holt Jones","27","AA","MIA","","957.8","3","","608","","","1836","","430"
"1251","Jake Clemente","22","A","MIA","","958.7","6","806","","575","892","1670","494","1315"
"1252","Miguel Flores","21","A","CLE","","958.8","6","714","","253","805","2460","445","1076"
"1253","Sandy Ozuna","20","CPX","COL","","","1","","","","","960","",""
"1254","Jacob Morrison","22","A","MIL","","960.3","4","330","","","945","1889","677",""
"1255","Randel Clemente","24","AA","STL","","960.8","4","","446","","881","1420","","1096"
"1256","Nazier Mule","21","A+","CHC","","963.1","7","380","1557","762","643","1758","525","1117"
"1257","Andre Lipcius","28","AAA","CHW","","","1","","","","","964","",""
"1258","Abraham Parra","20","A+","SDP","","964.8","7","694","1580","221","582","1898","389","1390"
"1259","Hayden Seig","27","AAA","LAA","","","1","","","","","965","",""
"1260","Jack Eshleman","22","A+","TOR","","965.3","5","870","747","","597","2427","","186"
"1261","Nolan DeVos","25","A+","HOU","","965.6","7","585","1686","639","719","1355","784","991"
"1262","Christian Rodriguez","21","A","NYM","","965.9","5","521","1084","","397","2340","","488"
"1263","Emmanuel Reyes","22","A+","KCR","","967.3","7","569","1737","169","405","2380","487","1024"
"1264","Cam Tilly","22","A","NYM","","967.3","6","679","","473","511","2563","538","1040"
"1265","Brayan Vergara","20","A","LAA","","968.3","4","329","","","574","2323","","647"
"1266","Lael Lockhart","28","AAA","DET","","969.8","5","942","1411","482","","600","","1414"
"1267","Garrett Edwards","24","AA","TBR","","969.9","7","915","1192","299","604","1792","623","1365"
"1268","Brett Gillis","26","AA","HOU","","970.2","6","771","1383","500","","1252","776","1139"
"1269","Daniel Federman","27","A+","BAL","","","1","","","","","972","",""
"1270","Billy Oldham","25","A","MIN","","","1","","","","","973","",""
"1271","Nick Hull","26","AAA","SEA","","974.0","5","695","968","","860","1255","","1092"
"1272","Diomedes Hernandez","21","AA","NYY","","","1","","","","","975","",""
"1273","Sam Bower","25","A","SFG","","975.8","5","820","","590","1046","1880","","543"
"1274","Hendry Chivilli","20","A","MIN","","975.8","6","873","","461","690","2389","552","890"
"1275","Johnathan Harmon","25","AA","CIN","","975.9","7","833","1557","150","451","1956","567","1318"
"1276","Zeke Wood","26","A+","STL","","","1","","","","","976","",""
"1277","Blake Townsend","25","AAA","TEX","","976.1","7","976","1153","423","710","1709","769","1093"
"1278","Zane Mills","25","AAA","CHC","","976.3","3","","629","","","1396","904",""
"1279","Tyson Guerrero","27","AAA","KCR","","","2","","997","","","957","",""
"1280","Juan Rosas","20","A","TOR","","","1","","","","","977","",""
"1281","Jesus Tillero","20","A","LAD","","977.4","7","505","1515","297","533","2115","423","1454"
"1282","Jackson Wentworth","23","AA","TOR","","977.5","7","769","1525","417","543","1738","637","1214"
"1283","Darlin Pinales","23","A+","ATH","","977.7","3","","512","","1005","1416","",""
"1284","Dominic Fletcher","28","AAA","CHW","","","1","","","","","979","",""
"1285","Eli Jerzembeck","23","A+","CHC","","979.0","5","","","484","978","1659","435","1339"
"1286","Kevin Gowdy","28","AAA","TOR","","","2","","1202","","","757","",""
"1287","Adilson Peralta","23","A+","PHI","","980.6","4","","477","","622","2245","","579"
"1288","Cole Miller","21","A","ATH","","980.7","7","576","1121","439","875","2078","502","1274"
"1289","Alex Speas","28","MLB","MIN","","","1","","","","","981","",""
"1290","Yilber Diaz","25","MLB","DET","","982.6","4","","1405","","889","596","","1041"
"1291","Jose Paulino","19","CPX","MIA","","","1","","","","","983","",""
"1292","Michael Morales","23","AA","SEA","","983.4","7","923","1362","310","780","1063","884","1562"
"1293","Tyler Bryant","27","AA","MIL","","","2","","503","","","1468","",""
"1294","Truman Pauley","22","A","CHW","","985.7","6","444","","193","698","2771","676","1132"
"1295","Yoniel Curet","23","AAA","DET","","985.7","3","","1050","","1458","449","",""
"1296","Braydon Tucker","26","AA","PHI","","985.8","6","777","1264","367","","2048","783","676"
"1297","Max Alba","26","AA","DET","","986.2","6","798","1208","517","669","1795","","930"
"1298","Carter Rustad","25","AA","CLE","","988.5","4","","681","","931","1678","","664"
"1299","Adonys Perez","22","AAA","ARI","","989.1","7","495","1630","375","446","2154","589","1235"
"1300","Trey Pooser","24","A+","TBR","","989.2","7","794","1317","237","734","2397","868","578"
"1301","Amilcar Chirinos","24","AA","HOU","","989.8","4","","618","","996","1464","","881"
"1302","Blaine Wynk","22","A","CHW","","990.2","6","461","","613","861","2678","381","947"
"1303","Jonathan Russell","21","A+","TBR","","990.8","3","","585","","1191","1197","",""
"1304","Carlson Reed","23","A+","PIT","","991.6","7","403","1113","332","863","2100","695","1436"
"1305","Anderson Guevara","21","A","SEA","","","1","","","","","992","",""
"1306","Marques Johnson","25","AAA","SFG","","992.3","4","","352","","1436","406","","1775"
"1307","Wil Jensen","28","AAA","CHC","","","2","","933","","","1052","",""
"1308","Joe Adametz","26","AAA","TEX","","992.7","6","850","1009","751","","1650","447","1249"
"1309","David Lorduy","22","A+","CIN","","992.8","7","700","1342","585","776","1970","702","875"
"1310","Thomas Schultz","26","AAA","WSN","","993.2","3","","624","","","2033","","323"
"1311","Luis  Fonseca","24","A","TOR","","","2","","","","","1585","","402"
"1312","Michael Fowler","23","AAA","MIL","","","2","","","","1146","841","",""
"1313","Nate Williams","24","A+","CHC","","993.7","3","","","","990","1027","","964"
"1314","Garrett McMillan","25","AA","PIT","","","2","","487","","","1502","",""
"1315","Michael Sansone","26","AAA","BOS","","995.1","6","800","1181","428","","1867","792","903"
"1316","Ben Vespi","25","AA","BAL","","995.1","4","","937","","723","1075","","1246"
"1317","Travis MacGregor","28","AAA","LAA","","","2","","738","","","1253","",""
"1318","Jay Driver","24","AAA","CLE","","995.4","4","","713","","867","1458","","944"
"1319","Emmett Olson","24","A+","MIA","","","2","","933","","","1058","",""
"1320","Micah Dallas","26","AAA","ATH","","995.5","4","","816","","1008","1735","","423"
"1321","Stiven Cruz","24","AA","MIL","","995.8","4","","1161","","455","2054","","313"
"1322","Chase Hampton","24","AA","NYY","","996.5","6","987","","397","1006","1447","624","1518"
"1323","Francisco Morao","20","CPX","BAL","","","2","","","","","1754","","239"
"1324","Angel Acosta","23","A+","KCR","","","1","","","","","997","",""
"1325","Antoine Kelly","26","AAA","COL","","998.5","3","","1192","","","578","","1226"
"1326","Nic Swanson","26","AA","HOU","","998.6","5","725","1505","489","","1366","","908"
"1327","Nick Davila","27","MLB","SEA","","","1","","","","","1000","",""
"1328","Tanner Andrews","30","MLB","TOR","","","2","","","","","1470","","531"
"1329","Joey Mancini","26","AAA","HOU","","1000.6","5","911","1208","715","","1009","","1160"
"1330","Luke Craig","24","A+","ARI","","","1","","","","","1001","",""
"1331","Jake Shelagowski","22","A","STL","","1001.8","6","842","","778","883","1912","455","1141"
"1332","Anthony Hoopii-Tuionetoa","25","AAA","CHW","","","2","","601","","","1405","",""
"1333","Cristhian Tortosa","27","AA","PIT","","","2","","666","","","1343","",""
"1334","Trey Dombroski","25","AAA","HOU","","1004.6","7","747","1084","382","727","2055","708","1330"
"1335","Eliezer Rivero","21","A","LAA","","","1","","","","","1005","",""
"1336","Michael Hilker","21","A","MIN","","1005.0","3","","","","874","1640","","501"
"1337","Jack Little","28","MLB","PIT","","1005.3","3","","707","","","1523","","786"
"1338","Jake Shirk","24","AA","PIT","","1005.6","4","","836","","747","1368","","1072"
"1339","Jesse Hahn","36","MLB","LAD","","","2","","1626","","","388","",""
"1340","Joshua Cornielly","25","AAA","NYM","","","2","","440","","","1574","",""
"1341","Samuel Escudero","22","AA","PIT","","","1","","","","","1007","",""
"1342","Christian Herberholz","25","AAA","BAL","","1007.3","7","641","1618","651","882","1192","829","1238"
"1343","Jack Findlay","23","AA","STL","","1007.4","4","","696","","787","1533","","1014"
"1344","Jackson Kelley","26","AAA","CHW","","1007.4","4","","1084","","1039","1226","","681"
"1345","Gerelmi Maldonado","22","A+","SFG","","1007.7","3","","524","","1366","1133","",""
"1346","Brock Porter","23","A+","TEX","","1008.6","7","647","925","480","854","2677","563","915"
"1347","Colin Peluse","28","AAA","PHI","","1008.7","3","","1138","","","1395","","493"
"1348","Jeff Criswell","27","MLB","COL","","","2","","1289","","","731","",""
"1349","Logan Samuels","24","A+","ATL","","1011.1","4","","1042","","636","2070","","297"
"1350","Nolan Kingham","29","AAA","TEX","","1011.8","4","1054","","796","","532","","1665"
"1351","Caden Grice","24","A+","ARI","","1012.4","7","920","1400","527","825","1576","577","1262"
"1352","Grant Umberger","24","A+","CHW","","1013.2","7","975","831","454","840","2013","751","1229"
"1353","Yu-Min Lin","22","AAA","ARI","","1013.9","7","412","1892","807","821","685","601","1880"
"1354","Andrew Healy","22","A","MIL","","1014.7","6","477","","756","897","2316","488","1154"
"1355","Matt Ager","23","AA","PIT","","1015.2","7","372","1926","443","362","2631","339","1034"
"1356","Nate Dohm","23","A+","STL","","1015.2","7","684","1330","798","1030","1476","581","1208"
"1357","Kelvin Ramirez","25","AA","LAD","","1015.3","4","","785","","919","1875","","482"
"1358","Melkis Hernandez","21","A+","CLE","","1015.6","7","560","1322","702","884","1629","408","1604"
"1359","Jesus Lafalaise","21","A","TEX","","1015.9","7","634","1884","493","406","2081","433","1181"
"1360","Jarod Bayless","29","AAA","PIT","","1016.8","5","821","1131","593","","1708","","831"
"1361","Yolmer Sanchez","34","MLB","LAA","","","1","","","","","1017","",""
"1362","Nelson L. Alvarez","28","AAA","PHI","","","2","","338","","","1699","",""
"1363","Yeraldo Salcedo","19","A","PIT","","1018.4","5","646","","","789","2002","541","1114"
"1364","Josh Hendrickson","28","AAA","HOU","","1018.5","5","804","2019","560","","405","","1305"
"1365","Blake Wolters","21","A+","KCR","","1020.5","7","538","1693","391","551","1902","496","1573"
"1366","Roman Angelo","26","AAA","ARI","","1020.6","7","298","1121","521","1104","1876","874","1350"
"1367","Nathan Wiles","27","MLB","ATL","","","2","","1370","","","673","",""
"1368","Eric Pardinho","25","AAA","TOR","","","2","","707","","","1338","",""
"1369","Dylan Ray","25","AAA","ARI","","1022.6","7","482","1667","770","743","1249","774","1473"
"1370","Avery Short","25","AAA","ARI","","1023.0","7","420","1618","333","761","2046","918","1065"
"1371","R.J. Gordon","24","AA","NYM","","1023.4","7","902","997","828","918","1350","798","1371"
"1372","Kolton Curtis","22","A+","TEX","","","2","","471","","","1582","",""
"1373","Chandler Murphy","25","A+","TBR","","","2","","543","","","1511","",""
"1374","Jose M. Rodriguez","22","A","NYY","","1027.0","4","","766","","766","2326","","250"
"1375","Greg Farone","24","AA","SFG","","1028.8","7","837","1719","520","647","1497","593","1389"
"1376","Conner Ware","22","A","NYM","","1028.8","6","697","","372","625","2803","740","936"
"1377","Gabe Mosser","30","AAA","SEA","","1029.0","4","","1541","324","","702","","1549"
"1378","Kyle Luckham","26","AAA","WSN","","1030.7","6","992","1595","567","","1397","645","988"
"1379","Jordan Balazovic","27","MLB","DET","","","2","","1042","","","1024","",""
