#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,Consensus,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,LFX
"283","John Peck","23","AAA","DET","SS","366.4","7","Moderate","297","","","381","405","","",""
"284","Rainer Nunez","25","AAA","TOR","1B","","1","","","","","","367","","",""
"285","Ben Ross","25","AAA","MIN","SS","367.6","7","Moderate","211","","","446","684","","",""
"286","Bruin Agbayani","19","A","NYM","2B","367.8","6","Split","140","","","35","218","","",""
"287","Austin Shenton","28","MLB","SEA","3B","","1","","","","","","371","","",""
"288","Juan Martinez","19","A","MIL","CF","371.6","7","Split","716","","59","471","91","","18",""
"289","Axiel Plaz","20","A+","PIT","C","373.4","8","Split","264","","","250","145","","",""
"290","Bennett Thompson","23","AA","CLE","C","374.3","8","Moderate","499","","","115","521","","",""
"291","Ethan Petry","22","AA","WSN","LF","375.6","7","Split","257","","","194","324","","",""
"292","Sammy Hernandez","22","A+","STL","C","375.9","7","Split","337","","","109","774","","28",""
"293","Core Jackson","22","A+","NYY","SS","376.3","8","Tight","353","","","554","546","","",""
