day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-27,800611,Noble Meyer,pitcher,A,26.2,33.22,7.02,225,83,intended,True,thin_current_sample_confidence
2026-07-27,815792,Chase Harlan,hitter,A+,31.67,32.43,0.76,101,95,unintended,False,
2026-07-27,814409,Seaver King,hitter,AAA,31.83,31.93,0.1,99,103,unintended,False,
2026-07-27,695667,Ben Kudrna,pitcher,AAA,14.54,31.21,16.67,855,110,intended,True,thin_current_sample_confidence
2026-07-27,815304,Josh Adamczewski,hitter,AA,26.13,31.15,5.02,226,113,unintended,False,
2026-07-27,816111,Tate Southisene,hitter,A+,30.65,30.88,0.23,112,114,unintended,False,
2026-07-27,809100,Ixan Henderson,pitcher,A,19.26,30.83,11.57,529,116,intended,True,thin_current_sample_confidence
2026-07-27,700164,Bryant Betancourt,hitter,AAA,15.82,29.24,13.42,769,147,unintended,False,
2026-07-27,802126,Joe Whitman,pitcher,AAA,27.98,28.87,0.89,166,154,unintended,False,
2026-07-27,703197,Michael Arroyo,hitter,AAA,17.66,28.53,10.87,641,163,unintended,False,
2026-07-27,702484,Jackson Cox,pitcher,AA,26.84,28.35,1.51,205,168,unintended,False,
2026-07-27,806957,Alfredo Duno,hitter,AA,16.64,28.25,11.61,705,170,unintended,False,
2026-07-27,805207,Caden Bodine,hitter,AA,26.33,26.74,0.41,218,214,unintended,False,
2026-07-27,815873,Sean Keys,hitter,AAA,17.64,26.36,8.72,643,226,unintended,False,
2026-07-27,682982,Daniel Espino,pitcher,AAA,26.29,26.31,0.02,220,228,unintended,False,thin_current_sample_confidence
2026-07-27,694370,Levi Wells,pitcher,AAA,25.82,25.84,0.02,242,247,unintended,False,thin_current_sample_confidence
2026-07-27,702650,Michael Forret,pitcher,AAA,22.89,25.8,2.91,339,249,unintended,False,
2026-07-27,815929,Jhonny Level,hitter,A+,24.89,25.52,0.63,265,257,unintended,False,
2026-07-27,803833,Garrett Baumann,pitcher,AAA,21.32,25.39,4.07,415,261,unintended,False,
2026-07-27,800537,Christian Zazueta,pitcher,AA,19.97,25.33,5.36,484,262,unintended,False,moderate_thin_sample_confidence
2026-07-27,830402,Kendry Chourio,pitcher,A+,20.07,25.24,5.17,476,266,unintended,False,moderate_thin_sample_confidence
2026-07-27,814351,Lucas Braun,pitcher,AAA,23.29,25.2,1.91,319,268,unintended,False,
2026-07-27,702652,Andrew Fischer,hitter,AA,24.45,24.9,0.45,280,276,unintended,False,
2026-07-27,691641,Jose Acuna,pitcher,AAA,18.29,24.57,6.28,594,290,unintended,False,
2026-07-27,701339,Marek Houston,hitter,AA,23.57,24.14,0.57,308,304,unintended,False,
2026-07-27,800540,Hector Osorio,hitter,A+,21.02,24.12,3.1,428,306,unintended,False,
2026-07-27,702619,Luke Hill,hitter,AA,14.95,23.59,8.64,821,320,unintended,False,moderate_thin_sample_confidence
2026-07-27,683363,Matt Wilkinson,pitcher,AAA,19.17,23.41,4.24,536,327,unintended,False,moderate_thin_sample_confidence
2026-07-27,691024,Cayden Wallace,hitter,AAA,13.28,23.32,10.04,962,330,unintended,False,
2026-07-27,809733,Connor Wietgrefe,pitcher,AAA,20.75,23.22,2.47,440,336,unintended,False,
2026-07-27,808087,Junior Sanchez,pitcher,AA,21.15,23.03,1.88,425,347,unintended,False,moderate_thin_sample_confidence
2026-07-27,815617,Kayson Cunningham,hitter,A+,22.73,23.02,0.29,346,348,unintended,False,
2026-07-27,694753,Khristian Curtis,pitcher,AAA,18.13,22.77,4.64,604,360,unintended,False,
2026-07-27,691828,Sem Robberse,pitcher,A,22.34,22.76,0.42,368,361,intended,True,thin_current_sample_confidence
2026-07-27,815626,Ethan Bagwell,pitcher,A+,13.08,22.75,9.67,981,362,unintended,False,
2026-07-27,691021,A.J. Vukovich,hitter,AAA,22.58,22.59,0.01,359,375,unintended,False,thin_current_sample_confidence
2026-07-27,826315,Cole Hertzler,pitcher,AA,15.18,22.52,7.34,806,380,unintended,False,moderate_thin_sample_confidence
2026-07-27,700731,Keiner Delgado,hitter,AAA,11.48,22.45,10.97,1110,381,unintended,False,
2026-07-27,800176,Carlos Sanchez,hitter,AA,12.57,22.42,9.85,1017,382,unintended,False,
2026-07-27,808129,Juan Flores,hitter,AA,12.82,22.37,9.55,999,387,unintended,False,moderate_thin_sample_confidence
2026-07-27,806258,Thomas White,pitcher,AAA,24.67,22.09,-2.58,274,401,unintended,False,thin_current_sample_confidence
2026-07-27,699115,Carlos Jorge,hitter,AAA,11.78,22.03,10.25,1088,406,unintended,False,
2026-07-27,808365,Dameury Pena,hitter,A+,12.23,21.59,9.36,1048,427,unintended,False,
2026-07-27,692150,Émilien Pitre,hitter,AA,20.93,21.29,0.36,433,439,unintended,False,
2026-07-27,800305,Jesús  Báez,hitter,AA,13.67,21.24,7.57,929,442,unintended,False,
2026-07-27,699151,Jedixson Paez,pitcher,AA,21.17,21.19,0.02,423,445,unintended,False,thin_current_sample_confidence
2026-07-27,827719,Jake Munroe,hitter,AA,14.32,20.99,6.67,873,451,unintended,False,
2026-07-27,696143,Anthony Solometo,pitcher,AA,9.67,20.52,10.85,1284,473,intended,True,thin_current_sample_confidence
2026-07-27,701178,Rafe Schlesinger,pitcher,AA,18.94,20.49,1.55,546,474,unintended,False,moderate_thin_sample_confidence
2026-07-27,813536,Juan Valera,pitcher,A+,19.26,20.34,1.08,530,482,intended,True,thin_current_sample_confidence
2026-07-27,694860,Jake Brooks,pitcher,AAA,14.17,20.32,6.15,889,484,unintended,False,
2026-07-27,807720,Garret Forrester,hitter,AAA,23.39,20.31,-3.08,315,485,unintended,False,thin_current_sample_confidence
2026-07-27,703615,Jose Cabrera,pitcher,AAA,13.81,20.3,6.49,918,486,unintended,False,moderate_thin_sample_confidence
2026-07-27,703610,Justin Lamkin,pitcher,AA,22.73,20.29,-2.44,348,487,unintended,False,thin_current_sample_confidence
2026-07-27,814430,Brett Callahan,hitter,AAA,11.59,20.16,8.57,1101,496,unintended,False,
2026-07-27,820832,Blake Aita,pitcher,AA,8.7,20.04,11.34,1371,503,unintended,False,
2026-07-27,828824,Josiah Ragsdale,hitter,AA,10.87,20.01,9.14,1167,506,unintended,False,
2026-07-27,702270,Malcolm Moore,hitter,AA,19.41,19.89,0.48,519,517,unintended,False,
2026-07-27,825576,Brandt Thompson,pitcher,AAA,12.81,19.86,7.05,1000,520,unintended,False,moderate_thin_sample_confidence
2026-07-27,807267,JD Dix,hitter,A+,19.4,19.83,0.43,520,522,unintended,False,
2026-07-27,689818,David Sandlin,pitcher,AAA,20.18,19.54,-0.64,469,543,unintended,False,thin_current_sample_confidence
2026-07-27,803385,Jay Harry,hitter,AAA,15.84,19.27,3.43,766,554,unintended,False,moderate_thin_sample_confidence
2026-07-27,804249,Tate Kuehner,pitcher,AAA,19.28,19.27,-0.01,526,555,unintended,False,thin_current_sample_confidence
2026-07-27,806263,Brandon Winokur,hitter,AA,14.15,19.07,4.92,890,569,unintended,False,
2026-07-27,805127,Devin Taylor,hitter,AA,18.81,19.05,0.24,556,571,unintended,False,
2026-07-27,701780,Tanner McDougal,pitcher,AAA,19.37,18.77,-0.6,523,585,unintended,False,thin_current_sample_confidence
2026-07-27,807716,Ty Langenberg,pitcher,AAA,16.96,18.57,1.61,683,603,unintended,False,moderate_thin_sample_confidence
2026-07-27,800125,Fernando Perez,pitcher,AA,16.71,18.43,1.72,698,614,intended,True,thin_current_sample_confidence
2026-07-27,701750,Bennett Thompson,hitter,AA,7.06,18.22,11.16,1531,625,unintended,False,
2026-07-27,678142,Cedric De Grandpre,pitcher,AAA,14.82,18.07,3.25,831,637,unintended,False,
2026-07-27,691414,Yorman Gómez,pitcher,AAA,17.98,17.95,-0.03,619,652,unintended,False,thin_current_sample_confidence
2026-07-27,834978,Danny Thompson Jr.,pitcher,AA,12.94,17.92,4.98,994,656,unintended,False,moderate_thin_sample_confidence
2026-07-27,809844,Kien Vu,hitter,AA,6.9,17.82,10.92,1548,661,unintended,False,
2026-07-27,824600,Riley Maddox,pitcher,AA,5.79,17.64,11.85,1657,669,unintended,False,
2026-07-27,703680,Brandon Compton,hitter,AA,16.69,17.58,0.89,699,672,unintended,False,
2026-07-27,682769,Eiberson Castellano,pitcher,AAA,13.97,17.58,3.61,901,673,unintended,False,
2026-07-27,701337,Ethan Petry,hitter,AA,17.21,17.56,0.35,671,674,unintended,False,
2026-07-27,701836,Kyle Robinson,pitcher,AA,6.31,17.48,11.17,1616,680,unintended,False,
2026-07-27,701679,Brody Brecht,pitcher,A+,17.45,17.46,0.01,654,683,unintended,False,thin_current_sample_confidence
